Project Description,Location,Contractor,Cost,Completion Date
"Construction of Mondragon Bantayan Old Road Shore Protection, Mondragon, Northern Samar",NORTHERN SAMAR,C. A. CONSTRUCTION AND SUPPLY,"3,914,636.25",12/31/2023
"Construction of Storm Surge Protection; Tide Embankment, Subsection 6.13, Barangay Sto Niño, Tanauan, Leyte",LEYTE,LANOY CONSTRUCTION,"89,542,656.00",12/31/2023
"Construction of Storm Surge Protection: Tide Embankment, Subsection 6.5, Brgy. Buntay, Tanauan, Leyte",LEYTE,888 ACY ENTERPRISES / JGO BUILDERS,"85,641,231.29",12/31/2023
"Construction of Flood Control Structure along Busig-on River (Upstream) Phase II, Brgy. Mabilo II, Labo, Camarines Norte",CAMARINES NORTE,C.B. GARAY PHILWIDE BUILDERS,"57,899,877.77",12/31/2023
"Construction of San Isidro River Control (Downstream) Package 2, San Isidro, Sto. Domingo, Albay",ALBAY,TR CONSTRUCTION CORPORATION (FOR: TR CONSTRUCTION),"192,998,182.04",12/31/2023
"Construction of Revetment along San Cristobal River (along La Consolacion road), Barangay Looc, Calamba City, Laguna",LAGUNA,MSV CONSTRUCTION AND SUPPLIES,"93,989,732.06",12/31/2023
"Construction of Tetrapods, Brgy. Capipisa-Brgy. Halayhay, Tanza, Cavite",CAVITE,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC. (FORMERLY TRIPLE 8 CONST. & SUPPLY)","49,478,805.76",12/31/2023
"Construction (Completion) of Drainage System, Brgy. Bigain South, San Jose, Batangas",BATANGAS,LUCKY EIGHTY-THREE CONSTRUCTION AND SUPPLY(FOR.VRP,"3,841,200.00",12/31/2023
"Cagayan River Flood Management Projects, San Isidro (Sta. 1+127 - Sta. 1+377), Iguig, Cagayan",CAGAYAN,MEGAY CONSTRUCTION INC. (FORMERLY: MEGAY CONSTRUCTION),"77,200,000.00",12/31/2023
"Construction of Flood Control Structure, Talolong River, Lopez, Quezon",QUEZON,R.A. MENDIOLA CONSTRUCTION & DEVELOPER,"49,000,000.00",12/30/2023
"Construction of Lumayong Flood Control Project (Downstream of Carmen Bridge, Kayaga to Sitio Punol, Phase III) along Pulangi River, Kabacan, Cotabato",COTABATO (NORTH COTABATO),MARCUS CONSTRUCTION & SUPPLY,"72,167,177.40",12/29/2023
"Construction of Revetment along Matina River, Asico Bridge Upstream Section, Right Bank, Davao City",DAVAO DEL SUR,GENESIS88 CONSTRUCTION INC.,"94,500,000.00",12/29/2023
"Construction of Salog A Flood Control Structure (Downstream), Hilongos, leyte",LEYTE,C N E CONSTRUCTION,"50,283,641.39",12/29/2023
"Construction of Bagalongon Flood Control Structure, Barangay Balinsasayao, Abuyog, Leyte",LEYTE,LEDA CONSTRUCTION INCORPORATED,"52,282,484.62",12/29/2023
"Construction of Slope protection/flood mitigation along active creek and low-lying area susceptible to flooding Crown Estate, Brgy. Bobonon, Alangalang , Leyte",LEYTE,JFR CONSTRUCTION INC. (FORMERLY:JFR CONSTRUCTION) / PYUKEI CONSTRUCTION INC.,"48,974,200.00",12/29/2023
"Construction of Revetment along Bacoor River, Barangay Kaingen, Bacoor City, Cavite",CAVITE,ALMAKAR BUILDERS & METAL WORKS,"86,849,658.99",12/29/2023
"Construction of Flood Control Structure along NCR/ Bulacan Bdry. - Bigte - Ipo Dam Road Santo Cristo River, San Jose Del Monte City, Bulacan",BULACAN,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC. (FORMERLY TRIPLE 8 CONST. & SUPPLY)","96,497,264.42",12/29/2023
"Construction of Flood Control Structure, Sapang Palay Proper, City of San Jose del Monte, Bulacan",BULACAN,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC. (FORMERLY TRIPLE 8 CONST. & SUPPLY)","96,497,531.45",12/29/2023
"Construction of Flood Control Structure, Sto Cristo River, San Jose Del Monte City, Bulacan",BULACAN,"TRIPLE 8 CONSTRUCTION & SUPPLY, INC. (FORMERLY TRIPLE 8 CONST. & SUPPLY)","96,497,180.56",12/29/2023
"Construction of Concrete Floating Excavation Ramp at Marilao and Meycauayan, Bulacan",BULACAN,"747 BUILDERS & TRADERS,INC. (FORMERLY:747 BUILDERS & TRADER)","19,597,861.13",12/29/2023
"Construction of Flood Control Structure at Barangay Commonwealth, Quezon City",QUEZON CITY,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),"49,000,000.00",12/29/2023
"Construction of Flood Control Structure and Tributaries at Barangay Holy Spirit, Quezon City (Phase 8)",QUEZON CITY,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),"48,509,693.60",12/29/2023
"Construction of Revetment along Tagum Libuganon River Basin, Carmen Section, Brgy. Guadalupe, Carmen, Davao del Norte",DAVAO DEL NORTE,RELY CONSTRUCTION & SUPPLY INC.(FORMERLY: RELY CONSTRUCTION AND SUPPLY),"67,549,987.12",12/28/2023
"Construction of Shoreline Protection, Barangay Daanlungsod, Tuburan, Cebu",CEBU,VEN RAY CONSTRUCTION CORPORATION,"39,146,455.00",12/28/2023
"Construction of Revetment along Canas River, Barangay Buenavista, General Trias, Cavite",CAVITE,"L.R. TIQUI BUILDERS, INC.","144,733,536.17",12/28/2023
"Construction of Flood Control Structure along Abo-abo River (Downstream) City of Balanga, Bataan",BATAAN,DAJ BUILDERS / POLYMER-VIC CONSTRUCTION,"57,900,000.00",12/28/2023
"Construction of Flood Control Structure along Tuyo River, Abucay Section (Phase II-AA), Abucay, Bataan",BATAAN,M.C.J. VALENZUELA CONSTRUCTION ENTERPRISES,"48,999,991.82",12/28/2023
"Construction of River Bank Protection (Revetment) along Tamontaka-Capiton-Tanuel River (Tamontaka Section, Phase IV), Datu Odin Sinsuat, Maguindanao",MAGUINDANAO DEL NORTE,DCD BUILDERS & ENTERPISES / CORICS CONSTRUCTION,"80,448,703.76",12/27/2023
"Construction of revetment along Aunan Creek (Bridge section Upstream) leading to agusan River at Barangay Babag, Monkayo, Davao de Oro",DAVAO DE ORO,ROSBILL CONSTRUCTION AND SUPPLY,"96,499,253.36",12/27/2023
"Construction of Manggas Creek from Brgy. Hinaplanon to Iligan Bay Shoreline, Package 1, Iligan City",LANAO DEL NORTE,MAMSAR CONSTRUCTION AND INDUSTRIAL CORPORATION,"69,946,552.43",12/27/2023
"Construction/Rehabilitation of Flood Control Mitigation Facilities along San Isidro River Downstream, Brgy. San Isidro, Sta. Fe, Leyte",LEYTE,RT BUILDERS,"48,000,822.54",12/27/2023
"Construction of Manalongon River Control, Upstream A, Sta. Catalina, Negros Oriental",NEGROS ORIENTAL,HOMEWORLD CONSTRUCTION CORP. (FORMERLY HOMEWORLD E,"44,100,000.00",12/27/2023
"Construction of Flood Control Structure along Manjuyod River, Manjuyod, Negros Oriental",NEGROS ORIENTAL,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION) / MIGHTY HOK SUMMIT CONSTRUCTION & DEVELOPMENT CORP.,"72,375,000.00",12/27/2023
"Construction of Flood Control Structure along San Jose-Biga-a River, La Libertad, Negros Oriental",NEGROS ORIENTAL,JAIME B. CHING ENTERPRISES,"67,550,000.00",12/27/2023
"Construction of Flood Control along Tinaogan, Bindoy, Negros Oriental",NEGROS ORIENTAL,RCODE BUILDERS AND AGGREGATES SUPPLY,"29,400,000.00",12/27/2023
"Construction of Bonbon Seawall, Phase II, Clarin, Bohol",BOHOL,SLP CONSTRUCTION / YS CONSTRUCTION,"48,999,862.87",12/27/2023
"Construction of Flood Mitigation Structure, Cambangay River Control (LIR-Cambangay Br.), San Miguel, Bohol",BOHOL,LEDA CONSTRUCTION INCORPORATED,"48,999,999.81",12/27/2023
"Construction/Rehabilitation/Improvement of Drainage System, Gatuslao St., Phase 1, Bacolod City, Negros Occidental",NEGROS OCCIDENTAL,HOMEWORLD CONSTRUCTION CORP. (FORMERLY HOMEWORLD E,"19,600,000.00",12/27/2023
"Construction of Flood Control Structure Brgy. Patag - Cawayan, Irosin, Sorsogon",SORSOGON,RMH CONSTRUCTION & SUPPLY / STEVEN CONSTRUCTION & SUPPLY,"98,963,028.11",12/27/2023
"Construction of Lanot Seawall, Mercedes, Camarines Norte",CAMARINES NORTE,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,"33,586,270.84",12/27/2023
"Construction of Maynaga River Control Structure, Maynaga, Polangui, Albay",ALBAY,RICHMAR CONSTRUCTION,"48,930,000.00",12/27/2023
"Construction of Itaran River Control Structure, barangay Buyo, Polangui, Albay",ALBAY,RICHMAR CONSTRUCTION,"48,930,000.00",12/27/2023
"Construction of Flood Mitigation Structures along Barangay San Roque, Paombong, Bulacan",BULACAN,WAWAO BUILDERS,"77,197,446.53",12/27/2023
"Construction of Flood Control Structure along Talisay River, (6+164 - 6+369), Pilar, Bataan",BATAAN,BPQ CONSTRUCTION AND TRADING / POLYMER-VIC CONSTRUCTION,"34,300,000.00",12/27/2023
"Construction of Diversion Dam, Brgy. Capitangan, Abucay, Bataan",BATAAN,JEPA CONSTRUCTION & SUPPLIES,"9,899,999.80",12/27/2023
"Construction of Flood Control Wall along Camarin Creek (Left Side) Brgy. 178 and 180, Sta. 0+000 to Sta. 0+223, Caloocan City",CALOOCAN CITY,JAGONBUILD CONSTRUCTION CORP. (FOR. JAGON BUILDERS,"47,813,558.33",12/27/2023
"Construction of Drainage System along Barangay 61, Caloocan City",CALOOCAN CITY,MIGHTY CONSTRUCTION & DEVELOPMENT INC.,"24,190,409.16",12/27/2023
"Construction of Flood Control Wall along the Bank of Creeks in Phase 7, Brgy. 176, Caloocan City",CALOOCAN CITY,WAWAO BUILDERS,"47,774,811.92",12/27/2023
"Construction of Milflores Pumping Station, Brgy. Tanza 2, Navotas City",NAVOTAS CITY,5-1 CONSTRUCTION CORPORATION,"23,272,477.27",12/27/2023
"Construction of Babanse 1 Pumping Station, Brgy. NBBS Kaunlaran, Navotas City",NAVOTAS CITY,"EARTHWORK BUILDERS, INC. (FORMERLY: EARTHWORK MOVERS)","23,274,381.97",12/27/2023
"Construction of Revetment at Tagbocboc Bridge (Abutment A and B), Talisayan, Misamis Oriental",MISAMIS ORIENTAL,RITCHE-NATHALIE BUILDERS & GENERAL MERCHANDISE,"72,375,000.00",12/26/2023
"Construction of Drainage, Barangay Carmen, Cagayan de Oro City, Misamis Oriental",MISAMIS ORIENTAL,CAGALAWAN ENTERPRISES,"39,200,000.00",12/26/2023
"Construction of Mambalite River Control along Libmanan River, Brgy. Mambalite, Libmanan, Camarines Sur",CAMARINES SUR,C.T. LEONCIO CONSTRUCTION & TRADING,"52,469,933.27",12/26/2023
"Construction/ Improvement of Slope Protection along Roy Padilla Highway, San Lorenzo Ruiz, Camarines Norte",CAMARINES NORTE,EUS CONSTRUCTION / 128 DRAGON CONSTRUCTION AND SUPPLIES,"86,849,987.78",12/26/2023
"Construction of River Dike at barangay Canaway, Malilipot, Albay",ALBAY,HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY,"96,500,000.00",12/26/2023
"Construction of Quirino Flood Control, Quirino, Ilocos Sur",ILOCOS SUR,NABANEW CONSTRUCTION AND SUPPLY,"19,599,957.43",12/26/2023
"Construction of Flood Control Wall along Sapang Alat Creek, Sta. 3+996 to 4+346, Caloocan City",CALOOCAN CITY,ELITE GENERAL CONTRACTOR AND DEVELOPMENT CORP.,"93,966,981.03",12/26/2023
"Construction of Flood Control Wall along the Banks of Matarik Creek, Brgy. 175 (Phase 3), Caloocan City",CALOOCAN CITY,IM CONSTRUCTION CORPORATION,"89,182,996.54",12/26/2023
"Construction of Site 8 (Mamale 2) Pumping Station, Brgy. NBBS Dagat-Dagatan, Navotas City",NAVOTAS CITY,WAY MAKER GENERAL CONTRACTOR OPC,"23,273,276.64",12/26/2023
"Construction of Flood Mitigation Structure along Agno River, Poblacion Buguias Section, Sta. 10 + 451 - 10 + 888 (L.S), Sta. 10 + 506 - 10 + 689 (RS), Sta. 10 + 917 - 11 + 039 (L.S), Sta. 0 + 000 - 0 + 056 (L.S), Sta. 0 + 000 - 0 + 075 (RS) and Sta. 11 + 152 - 11 + 392 (LS), Buguias, Benguet",BENGUET,MG SAMIDAN CONSTRUCTION / GELLE CONSTRUCTION SERVICES,"96,500,000.00",12/26/2023
"Construction of Flood Control Wall along the Banks of Creeks along TBWard, Brgy. 188, Caloocan City",CALOOCAN CITY,AVECS CORPORATION,"23,947,575.30",12/25/2023
"Construction of Flood Control Wall along Sampaguita Creek, Caloocan City",CALOOCAN CITY,DIADEMA CONSTRUCTION AND ENTERPRISES INC. (FORMERLY: DIADEMA ENTERPRISES),"89,280,149.46",12/25/2023
"Construction of Drainage System along Coaster St., Barangay 175, Caloocan City",CALOOCAN CITY,"D.C. SANDIL CONSTRUCTION AND REALTY DEVELOPMENT, I","24,003,340.64",12/25/2023
"Construction of Revetment along Mabo Creek leading to Kingking River, Brgy. Kingking, Pantukan, Davao De Oro",DAVAO DE ORO,"R.A. PAHATI CONST. & SUPPLY, INC.","34,299,422.58",12/24/2023
"Construction of Flood Mitigation Structure, Barangay Guadalupe, Cebu City, Cebu",CEBU,BELCONSTRUCT CORPORATION,"4,940,079.39",12/24/2023
"Construction of Flood Control Structure along Guinsay River, Danao, Cebu",CEBU,POWER MOVE BUILDERS & CONSTRUCTION SUPPLY / VSP STRUCTURE VENTURES CORP. (FORMERLY: VIRLO CONSTRUCTION),"77,077,770.77",12/24/2023
"Construction of Flood Control Structure of Higalaman River (Downstream) along Bacolod North Rd, San Carlos City, Negros Occidental",NEGROS OCCIDENTAL,KENNETH CONSTRUCTION AND GENERAL MERCHANDISE,"91,674,989.91",12/24/2023
"Construction of Flood Mitigation Structures along Patic Creek, Pulupandan, Negros Occidental (Phase 2)",NEGROS OCCIDENTAL,JAIME B. CHING ENTERPRISES,"49,499,990.00",12/24/2023
"Construction of Camansi River Bank Slope Protection Upstream of Camansi Bridge along Jct Pontevedra - La Castellana Road (Left Bank), Barangay Robles, La Castellana, Negros Occidental",NEGROS OCCIDENTAL,LEGACY CONSTRUCTION CORPORATION (FORMERLY: LEGACY CONSTRUCTION),"49,000,000.00",12/24/2023
"Construction of Flood Control Dike and Slope Protection along Mariawa-Anislag (Phase II), Daraga, Albay",ALBAY,"RCDS CONSTRUCTION & SUPPLY, INC.(FOR RCDS CONST.","48,178,149.83",12/24/2023
"Construction of Pinagbobong River Control, Barangay Pinagbobong, Tabaco City, Albay",ALBAY,"SANRHO BUILDERS, INC.(FOR. SANRHO CONST. AND SUPPL","135,100,000.00",12/24/2023
"Construction/Rehabilitation of Flood Mitigation Facilities within Major River Basins- Construction of Flood Control Mitigation Structure along Pampanga River, Poblacion, San Isidro, Nueva Ecija",NUEVA ECIJA,JPB CONSTRUCTION / FRAMECON BUILDERS,"63,685,822.86",12/24/2023
"Construction of Toon-San Gregorio Flood Control Structure, La Paz, Abra",ABRA,739 BUILDERS,"144,747,500.00",12/24/2023
"Construction of River Protection of Biñan River along Barangay Casile and Barangay Malaban, Phase II, Biñan City, Laguna",LAGUNA,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP.,"48,930,644.27",12/23/2023
"Construction of River Protection of Biñan River along Barangay Casile and Barangay Malaban, Phase I, Biñan City, Laguna",LAGUNA,STRUKTURA TEKNIKA SERVICES CO. / ST. MATTHEW GEN. CONTRACTOR & DEVELOPMENT CORP.,"48,994,674.47",12/23/2023
"Construction of Slope Protection Structure along San Isidro River, West Side, Barangay Sabutan, Silang, Cavite",CAVITE,OMNICON BUILDERS,"49,499,413.18",12/23/2023
"Rehabilitation of Flood Control System, Barangay Bañaga, Bugallon, Pangasinan",PANGASINAN,ALCEL CONSTRUCTION,"34,649,416.67",12/23/2023
"Construction of River Bank Protection (Revetment) along Tamontaka-Capiton-Tanuel River (Tamontaka Section, Phase III), Datu Odin Sinsuat, Maguindanao",MAGUINDANAO DEL NORTE,DCD BUILDERS & ENTERPISES / CORICS CONSTRUCTION,"81,223,898.37",12/22/2023
"Construction of Flood Mitigation Structure along Matampay River, Poblacion 7, Cotabato City",MAGUINDANAO DEL NORTE,FFJJ CONSTRUCTION,"144,621,700.54",12/22/2023
"Construction of Flood Mitigation Structure along Iponan River (Iponan Section), Barangay Balulang, Cagayan de Oro City - Sta. 0 + 000 - Sta. 0 + 310",MISAMIS ORIENTAL,RITCHE-NATHALIE BUILDERS & GENERAL MERCHANDISE,"96,500,000.00",12/22/2023
"Construction of Flood Mitigation Structure along Iponan River, Cagayan de Oro City - Sta. 0 + 000 - Sta. 0 + 310",MISAMIS ORIENTAL,RITCHE-NATHALIE BUILDERS & GENERAL MERCHANDISE,"96,499,465.00",12/22/2023
"Construction of River Control along Panay River Basin, Poblacion Proper, Jamindan, Capiz",CAPIZ,"A.D. PENDON CONSTRUCTION & SUPPLY, INC. (FORMERLY: ADP CONSTRUCTION & SUPPLY)","42,629,655.34",12/22/2023
"Construction of Flood Control Concrete Revetment at Dapdap River, Upstream Right Side, Barangay Dapdap, Sta. 0+000.00 - Sta. 0+247.00, Uson, Masbate",MASBATE,RED DIAMOND CONSTRUCTION AND SUPPLY CORPORATION (FORMERLY: RED DIAMOND CONSTRUCTION),"38,730,805.32",12/22/2023
"Construction of Flood Mitigation Structure along Brgy. Silangan Poblacion, District 2, San Fernando, Masbate",MASBATE,CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.,"48,249,895.17",12/22/2023
"Construction of Flood Control along Cagas Bridge (Downstream Section), Nabua, Camarines Sur",CAMARINES SUR,"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)","96,402,424.49",12/22/2023
"Construction of Riverbank Protection Structure along Libmanan River, Brgy. Gaongan Section, Sipocot, Camarines Sur",CAMARINES SUR,BICOL GOLDROCK CONSTRUCTION CORPORATION,"82,024,049.20",12/22/2023
"Construction of River Protection Structure at Telegrapo River (Downstream), Lidong, Santo Domingo, Albay",ALBAY,HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY,"96,500,000.00",12/22/2023
"Construction of Batang Batang River Flood Control Structure, Sta 0 + 200 - Sta. 0 + 900 L/S Downstream, Barangay Batang-Batang, Narra, Palawan",PALAWAN,ORANI CONSTRUCTION AND SUPPLY CORPORATION (FORMERLY:ORANI BUILDERS & SUPPLY),"50,662,496.45",12/22/2023
"Construction of Flood Control Structure, Binayoyo (Downstream) Phase 4, Barangay Calawis, Antipolo City",RIZAL,BELL CONSTRUCTION,"48,999,994.47",12/22/2023
"Construction of Revetment along Bacoor River, Barangay Mambog I, Bacoor City, Cavite",CAVITE,ALMAKAR BUILDERS & METAL WORKS,"77,196,567.23",12/22/2023
"Rehabilitation of Existing Dike along O'Donnell River, (Patling Section, Right Bank), Sta. 7 + 658 to Sta. 8 + 214, Capas, Tarlac",TARLAC,STO. CRISTO CONSTRUCTION & TRADING INC. (FOR: STO. CRISTO CONSTRUCTION & TRADING),"66,102,126.33",12/22/2023
"Construction of Flood Control Structure at Barangay San Roque, Baliuag, Bulacan (K001+300 to K001+600)",BULACAN,WAWAO BUILDERS / DRJY CONSTRUCTION,"72,373,859.53",12/22/2023
"Construction of Flood Control Structure at Barangay Hinukay, Baliuag, Bulacan (K004+530 to K004+830)",BULACAN,YPR GEN. CONTRACTOR AND CONSTRUCTION SUPPLY INC.,"72,374,165.79",12/22/2023
"Construction of Flood Mitigation Structures along Bgry. Pamarawan, Malolos, Bulacan",BULACAN,"JTC CRUZ CONSTRUCTION CO., INC.","59,358,779.56",12/22/2023
"Construction of Flood Mitigation Structure along Balingcaguing River, Sta. 004+564.2 - Sta. 005+073.8, Barangay Poblacion East, Agno, Pangasinan",PANGASINAN,JONIK TRADING & CONSTRUCTION / ALCEL CONSTRUCTION,"77,200,000.00",12/22/2023
"Construction of Drainage System (Box Culvert) along Labores Street, Pandacan, Manila",CITY OF MANILA,ST. TIMOTHY CONSTRUCTION CORPORATION,"54,455,277.96",12/22/2023
"Improvement of Pumping Station along Lagusnilad, Manila City (Phase I)",CITY OF MANILA,JMK BUILDERS CONSTRUCTION,"24,412,468.58",12/22/2023
"Construction of Flood Control Structure and Tributaries at Barangay Batasan-Commonwealth, Quezon City (Phase 7)",QUEZON CITY,DIADEMA CONSTRUCTION AND ENTERPRISES INC. (FORMERLY: DIADEMA ENTERPRISES) / A. DELA CRUZ BUILDERS INC.,"48,509,688.15",12/22/2023
"Construction of Flood Mitigation Structure along Agno River, Baoknit Section, Sta. 9 + 945 - Sta. 10 + 555 (L.S), Sta. 9 + 928 - Sta. 10 + 524 (R.S), Buguias, Benguet",BENGUET,MG SAMIDAN CONSTRUCTION / JAN-REAL CONSTRUCTION SERVICES,"72,324,030.27",12/22/2023
"Construction of Flood Mitigation Structure along Bauang River, Section 2 (Bolo Creek), La Trinidad, Benguet",BENGUET,UNIVERSAL DE LEON CONSTRUCTION AND AGGREGATES,"96,480,000.00",12/22/2023
"Construction of Flood Mitigation Structure along Iponan River (Iponan Section) Phase II, Cagayan de Oro City",MISAMIS ORIENTAL,MORTAR MASTERS & CONCRETE BUILDERS,"49,000,000.00",12/21/2023
"Construction of Flood Mitigation Facilities along Panay/Mambusao River Basin, Pontevedra River Control including Esplanade, Pontevedra, Capiz",CAPIZ,ST. TIMOTHY CONSTRUCTION CORPORATION,"62,724,396.82",12/21/2023
"Construction of slope Protection works at Malisik River Phase I, barangay Barangca, Candaba, Pampanga",PAMPANGA,GREAT PACIFIC BUILDERS AND GEN. CONTRACTOR INC.,"70,203,736.33",12/21/2023
"Construction of Flood Control Project and Rehabilitation of Waterways along Angat River Brgy. Parulan Plaridel, Bulacan",BULACAN,DOUBLE 12 CONSTRUCTION & SUPPLY,"74,249,103.11",12/21/2023
"Construction of Flood Control Project along Colo River, Maite Section Phase CMD-1 Hermosa, Bataan",BATAAN,M.C.J. VALENZUELA CONSTRUCTION ENTERPRISES,"19,799,993.13",12/21/2023
"Construction of River Bank Protection at Pianing Bridge along Butuan City-Pianing-Tandag Rd, Butuan City, Agusan del Norte",AGUSAN DEL NORTE,NORTHERN BUILDERS,"86,847,002.20",12/20/2023
"Construction of Concrete Revetment along Batutu River leading to Manat River (Junction), Barangay New Visayas, Montevista, Davao de Oro",DAVAO DE ORO,ROSBILL CONSTRUCTION AND SUPPLY,"67,549,999.80",12/20/2023
"Construction/Rehabilitation/Improvement of Drainage System, B.S. Aquino Drive, Bacolod City, Negros Occidental",NEGROS OCCIDENTAL,HUMMING BIRD CONSTRUCTION & SUPPLY CORPORATION,"29,400,000.00",12/20/2023
"Construction of Flood Control/Slope Protection along Jalaur River, Dingle, Iloilo",ILOILO,STRONGLANE BUILDERS AND TRADING CORPORATION (FORMERLY: STRONGLANE CONSTRUCTION & TRADING),"23,763,658.51",12/20/2023
"Construction/Rehabilitation of San Rafael Storm Surge Protection, Donsol, Sorsogon",SORSOGON,CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.,"131,553,950.00",12/20/2023
"Construction/Rehabilitation of Sta. Cruz Storm Surge Protection, Donsol, Sorsogon",SORSOGON,CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.,"140,956,866.00",12/20/2023
"Rehabilitation of Shore Protection Structure, Sitio Busdak, Brgy. Bartolabac, San Jacinto, Masbate",MASBATE,CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.,"98,999,354.98",12/20/2023
"Rehabiltation of Luluwasan Flood Control Structure (Phase 2), Balatan, Camarines Sur",CAMARINES SUR,HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY,"96,489,125.40",12/20/2023
"Construction of Flood Mitigation Structure, Brgy. Sua, Camalig, Albay",ALBAY,CENTERWAYS CONSTRUCTION AND DEVELOPMENT INC.,"98,885,867.64",12/20/2023
"Construction of Flood Mitigation Structure and Drainage Systems Phase I, Puerto Princesa North Road, Barangay San Manuel to Outfall, Sta. 0+000 - Sta. 0+556.40, Puerto Princesa, Palawan",PALAWAN,HARDROCKPLATINUM DEVELOPMENT CORPORATION / C.T. LEONCIO CONSTRUCTION & TRADING,"96,496,299.03",12/20/2023
"Construction of Ligaya-Sta. Lucia Coastal Road, Sablayan, Occidental Mindoro",OCCIDENTAL MINDORO,GREAT PACIFIC BUILDERS AND GEN. CONTRACTOR INC.,"207,472,845.55",12/20/2023
"Construction of Sta. Cruz Shore Protecion/Boulevard, Barangay Buyabod, Santa Cruz, Marinduque",MARINDUQUE,HGG BUILDERS & SUPPLY,"192,998,640.97",12/20/2023
"Construction of Flood Control Structure, Sitio Upper Kilingan Phase 2, Barangay San Jose, Antipolo City",RIZAL,BICOL GOLDROCK CONSTRUCTION CORPORATION,"48,990,287.77",12/20/2023
"Construction of River Control Project along Guiguinto River, Barangay Ilang-Ilang, Guiguinto, Bulacan",BULACAN,GREAT PACIFIC BUILDERS AND GEN. CONTRACTOR INC.,"96,405,861.59",12/20/2023
"Construction of Barangay Dibuluan Flood Control Structure, Section 3, Jones, Isabela",ISABELA,V.B. MANUBAY CONSTRUCTION,"96,500,000.00",12/20/2023
"Construction of Sewerage Canal within Brgy. Poblacion, Enrile, Cagayan",CAGAYAN,DOUBLE J1908 CONSTRUCTION,"9,788,290.17",12/20/2023
"Construction of Flood Control Brgy. Ambugat, Burgos, Ilocos Sur",ILOCOS SUR,FIRST NORTHWAY DEVELOPMENT & CONSTRUCTION CORP.,"9,602,987.50",12/20/2023
"Construction of Flood Control Structure at La Mesa Ecopark, Quezon City",QUEZON CITY,LE BRON CONSTRUCTION,"48,019,525.44",12/20/2023
"Construction of Revetment along Surigao River, Luna Section, Surigao City, Surigao del Norte",SURIGAO DEL NORTE,"GICAR CONSTRUCTION, INC.","96,494,216.75",12/19/2023
"Construction/Upgrading/Rehabilitation of Drainage along National Roads-Secondary-Jct. Digos-Buayan Airport Road, General Santos City",SOUTH COTABATO,VICENTE T. LAO CONSTRUCTION,"39,193,358.97",12/19/2023
"Construction of Revetment along Matiao River, Barangay Bongbong Section, Pantukan, Davao de Oro",DAVAO DE ORO,"R.A. PAHATI CONST. & SUPPLY, INC.","91,673,488.29",12/19/2023
"Construction of Shore Protection, Magsaysay Boulevard, Phase 3, Tacloban City",LEYTE,ED1SON DEVELOPMENT & CONSTRUCTION INC. / TWENTYSIX CONSTRUCTION INC.,"55,021,203.86",12/19/2023
"Construction of Flood Mitigation Structure along Butuanon River, Barangay Pit-os, Cebu City",CEBU,FLUSSKREBS CONSTRUCTORS,"43,999,790.93",12/19/2023
"Construction of Revetment Wall at Barangay Tupas - Barangay Vive River Flood Control, Ronda, Cebu",CEBU,WTG CONSTRUCTION & DEVELOPMENT CORPORATION,"96,400,924.58",12/19/2023
"Construction of Revetment Wall at Barangay Vive - Barangay Tupas River Flood Control, Ronda, Cebu",CEBU,WTG CONSTRUCTION & DEVELOPMENT CORPORATION,"96,207,944.40",12/19/2023
"Construction of Revetment Wall at Sitio Lower Talayong, Brgy. Tupas - Sitio Bagonbon, Brgy. Libo-o (Left Side Downstream), Ronda, Cebu",CEBU,FIRST GRANDEUR BUILDERS / MUANA CONSTRUCTION AND DEVELOPMENT CORP. (FORMERLY,"96,401,741.64",12/19/2023
"Construction of Revetment Wall along Matutinao River (Leftside), Badian, Cebu",CEBU,WTG CONSTRUCTION & DEVELOPMENT CORPORATION,"96,305,245.40",12/19/2023
"Construction of Flood Control Structures, Sitio Parale - Sitio Dao (Upstream), Barangay Mindanao, Malabuyoc, Cebu",CEBU,QM BUILDERS,"96,498,218.47",12/19/2023
"Construction/Rehabilitation/Improvement of Drainage System, Lacson Street, Bacolod City, Negros Occidental",NEGROS OCCIDENTAL,"REDSON CONSTRUCTION AND SUPPLIES, INC. (FORMERLY: REDSON CONSTRUCTION AND SUPPLIES)","19,600,000.00",12/19/2023
